Species name,Compounds,Amount,Time of data collection,Plant part,Identification method,Profile,Profile base,DOI number,Time_of_publication,Location,Country,Essential oil extraction method,Development stage,Season/month,Experimental condition,Species variety,Plant Sample,Journals name
Scrophularia catariifolia ,Hexanal,0.2,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P. 44563.487,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Acetic acid butyl ester,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Furfural,0.25,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,2-Hexenal,3.05,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,4-Hexen-1-ol,8.03+0.24,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,1-Hexanol,5.48,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Styrene,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Benzaldehyde,2.09,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,1-Heptenol,0.83,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,3-Octenol,16.94,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
